 adcode , adname , centerx    , centery    
520600, 铜仁市 ,109.186968,27.721609
522300, 黔西南布依族苗族自治州 ,104.895511,25.091224
522600, 黔东南苗族侗族自治州 ,107.973375,26.586912
522700, 黔南布依族苗族自治州 ,107.512954,26.261627
530100, 昆明市 ,102.710794,25.043567
530300, 曲靖市 ,103.795815,25.504552
530400, 玉溪市 ,102.542631,24.353504
530500, 保山市 ,99.166204,25.114653
530600, 昭通市 ,103.715105,27.340407
530700, 丽江市 ,100.231875,26.875635
530800, 普洱市 ,100.971146,22.78031
530900, 临沧市 ,100.085702,23.889141
532300, 楚雄彝族自治州 ,101.5446,25.045048
532500, 红河哈尼族彝族自治州 ,103.38214,23.369275
532600, 文山壮族苗族自治州 ,104.241922,23.372185
532800, 西双版纳傣族自治州 ,100.796811,22.004576
532900, 大理白族自治州 ,100.224545,25.592453
533100, 德宏傣族景颇族自治州 ,98.57819,24.439846
533300, 怒江傈僳族自治州 ,98.853889,25.854267
533400, 迪庆藏族自治州 ,99.705335,27.83032
540100, 拉萨市 ,91.130615,29.663034
540200, 日喀则市 ,88.883067,29.270742
540300, 昌都市 ,97.177884,31.139175
542200, 山南地区 ,91.765257,29.239056
542400, 那曲地区 ,92.058862,31.478178
542500, 阿里地区 ,80.103228,32.505623
542600, 林芝市 ,94.361158,29.65736
610100, 西安市 ,108.943348,34.26473
610200, 铜川市 ,108.974783,34.917572
610300, 宝鸡市 ,107.140038,34.370565
610400, 咸阳市 ,108.700448,34.33488
610500, 渭南市 ,109.497686,34.500661
610600, 延安市 ,109.48538,36.596411
610700, 汉中市 ,107.024096,33.079545
610800, 榆林市 ,109.735597,38.289634
610900, 安康市 ,109.024423,32.692378
611000, 商洛市 ,109.934779,33.869989
620100, 兰州市 ,103.821105,36.058325
620200, 嘉峪关市 ,98.276706,39.785697
620300, 金昌市 ,102.185877,38.513784
620400, 白银市 ,104.170827,36.545626
620500, 天水市 ,105.721049,34.579836
620600, 武威市 ,102.632972,37.929702
620700, 张掖市 ,100.45375,38.93224
620800, 平凉市 ,106.68041,35.543217
620900, 酒泉市 ,98.510197,39.743232
621000, 庆阳市 ,107.633632,35.734608
621100, 定西市 ,104.623614,35.580112
621200, 陇南市 ,104.92647,33.390538
622900, 临夏回族自治州 ,103.209736,35.599784
623000, 甘南藏族自治州 ,102.909259,34.987466
630100, 西宁市 ,101.776957,36.623235
630200, 海东市 ,102.10118,36.502836
632200, 海北藏族自治州 ,100.899572,36.959451
632300, 黄南藏族自治州 ,102.018066,35.518128
632500, 海南藏族自治州 ,100.618228,36.280726
632600, 果洛藏族自治州 ,100.240759,34.475041
632700, 玉树藏族自治州 ,97.008036,33.006142
632800, 海西蒙古族藏族自治州 ,97.369944,37.374154
640100, 银川市 ,106.273749,38.465896
640200, 石嘴山市 ,106.371463,39.01247
640300, 吴忠市 ,106.194988,37.9856
640400, 固原市 ,106.281004,36.004721
640500, 中卫市 ,105.185771,37.514361
650100, 乌鲁木齐市 ,87.614846,43.791565
650200, 克拉玛依市 ,84.871521,45.595067
652100, 吐鲁番市 ,89.181217,42.946048
652200, 哈密地区 ,93.511528,42.831707
652300, 昌吉回族自治州 ,87.300854,44.013225
652700, 博尔塔拉蒙古自治州 ,82.071486,44.902229
652800, 巴音郭楞蒙古自治州 ,86.148308,41.767041
652900, 阿克苏地区 ,80.262887,41.169719
653000, 克孜勒苏柯尔克孜自治州 ,76.16978,39.713013
653100, 喀什地区 ,75.986181,39.467439
653200, 和田地区 ,79.923395,37.111015
654000, 伊犁哈萨克自治州 ,81.314903,43.920611
654200, 塔城地区 ,82.982545,46.745576
654300, 阿勒泰地区 ,88.136249,47.847073
659001, 石河子市 ,86.038305,44.304716
659002, 阿拉尔市 ,81.283082,40.541341
659003, 图木舒克市 ,79.075555,39.866748
659004, 五家渠市 ,87.523839,44.16628
659005, 北屯市 ,87.821782,47.352086
659006, 铁门关市 ,85.498551,41.825892
659007, 双河市 ,82.350478,44.839532
710000, 台湾省 ,121.505123,25.047122
810000, 香港特别行政区 ,114.168386,22.322797
820000, 澳门特别行政区 ,113.543988,22.201893
